id,price,qty,quoteQty,time,isBuyerMaker,isBestMatch
197798041,0.03223100,0.07700000,0.00248178,1603171704029,False,True
197798042,0.03223000,0.31000000,0.00999130,1603171704342,False,True
197798043,0.03223000,3.69000000,0.11892870,1603171704667,False,True
197798044,0.03223000,6.96700000,0.22454641,1603171704667,False,True
197798045,0.03223000,0.62900000,0.02027267,1603171704769,False,True
197798046,0.03222900,1.00000000,0.03222900,1603171704871,False,True
197798047,0.03222800,1.21500000,0.03915702,1603171705222,True,True
197798048,0.03222700,0.87600000,0.02823085,1603171705222,True,True
197798049,0.03222900,0.01200000,0.00038674,1603171706919,False,True
197798050,0.03222900,0.03000000,0.00096687,1603171707027,False,True
197798051,0.03222900,0.01500000,0.00048343,1603171707126,False,True
197798052,0.03222900,0.01500000,0.00048343,1603171707231,False,True
197798053,0.03222900,0.40900000,0.01318166,1603171707375,False,True
197798054,0.03223000,15.37500000,0.49553625,1603171707375,False,True
197798055,0.03223200,0.08900000,0.00286864,1603171717784,False,True
197798056,0.03223200,0.09900000,0.00319096,1603171717878,False,True
197798057,0.03223200,0.09900000,0.00319096,1603171718439,False,True
197798058,0.03223100,0.36800000,0.01186100,1603171723886,True,True
197798059,0.03223200,0.12700000,0.00409346,1603171727155,False,True
197798060,0.03223100,0.93000000,0.02997483,1603171732192,False,True
197798061,0.03223100,0.29500000,0.00950814,1603171738494,False,True
197798062,0.03223200,17.54500000,0.56551044,1603171740865,False,True
197798063,0.03222700,0.16700000,0.00538190,1603171752345,True,True
197798064,0.03222500,1.00000000,0.03222500,1603171752586,True,True
197798065,0.03222700,2.79600000,0.09010669,1603171755066,True,True
197798066,0.03222700,0.02900000,0.00093458,1603171757087,True,True
197798067,0.03222700,0.08600000,0.00277152,1603171757087,True,True
197798068,0.03222900,0.01000000,0.00032229,1603171763145,False,True
197798069,0.03223000,21.19500000,0.68311485,1603171763145,False,True
197798070,0.03222900,2.84500000,0.09169150,1603171767305,False,True
197798071,0.03222800,1.00000000,0.03222800,1603171769125,False,True
197798072,0.03222800,21.19900000,0.68320137,1603171772529,False,True
197798073,0.03222800,1.32100000,0.04257318,1603171773685,True,True
197798074,0.03222800,0.79300000,0.02555680,1603171776804,True,True
197798075,0.03222600,0.01000000,0.00032226,1603171778387,True,True
197798076,0.03222600,1.09700000,0.03535192,1603171778387,True,True
197798077,0.03222800,0.40600000,0.01308456,1603171781947,False,True
197798078,0.03222700,3.11800000,0.10048378,1603171784279,True,True
197798079,0.03222700,1.21500000,0.03915580,1603171784370,True,True
197798080,0.03222700,2.48900000,0.08021300,1603171792448,False,True
197798081,0.03222700,13.01300000,0.41936995,1603171792448,False,True
197798082,0.03222500,0.31800000,0.01024755,1603171794197,True,True
197798083,0.03222700,4.24000000,0.13664248,1603171798137,False,True
197798084,0.03222700,0.85200000,0.02745740,1603171801075,False,True
197798085,0.03222700,1.40700000,0.04534338,1603171801387,False,True
197798086,0.03222700,0.20300000,0.00654208,1603171801752,False,True
197798087,0.03222700,0.00600000,0.00019336,1603171801781,False,True
197798088,0.03222200,0.02200000,0.00070888,1603171810305,True,True
197798089,0.03222200,1.04600000,0.03370421,1603171810305,True,True
197798090,0.03222200,0.31000000,0.00998882,1603171811557,True,True
197798091,0.03222300,0.01900000,0.00061223,1603171812102,False,True
197798092,0.03222200,1.35000000,0.04349970,1603171812287,True,True
197798093,0.03222200,0.31000000,0.00998882,1603171813976,True,True
197798094,0.03222200,0.32500000,0.01047215,1603171814413,True,True
197798095,0.03222200,0.29200000,0.00940882,1603171815550,True,True
197798096,0.03222200,2.35200000,0.07578614,1603171816511,True,True
197798097,0.03222200,0.62000000,0.01997764,1603171816616,True,True
197798098,0.03222200,0.31000000,0.00998882,1603171817645,True,True
197798099,0.03222200,0.31000000,0.00998882,1603171817652,True,True
197798100,0.03222200,2.79400000,0.09002826,1603171817748,True,True
197798101,0.03222200,1.32100000,0.04256526,1603171818087,True,True
197798102,0.03222200,1.47200000,0.04743078,1603171818175,True,True
197798103,0.03222200,0.31000000,0.00998882,1603171818845,True,True
197798104,0.03222200,0.58600000,0.01888209,1603171819028,True,True
197798105,0.03222200,3.96100000,0.12763134,1603171819243,True,True
197798106,0.03222200,0.31000000,0.00998882,1603171819944,True,True
197798107,0.03222200,3.44000000,0.11084368,1603171821633,True,True
197798108,0.03222200,0.60000000,0.01933320,1603171821738,True,True
197798109,0.03222200,0.31000000,0.00998882,1603171822419,True,True
197798110,0.03222200,0.31000000,0.00998882,1603171822989,True,True
197798111,0.03222200,0.31000000,0.00998882,1603171823229,True,True
197798112,0.03222200,1.81900000,0.05861181,1603171823447,True,True
197798113,0.03222200,0.31000000,0.00998882,1603171823669,True,True
197798114,0.03222200,1.88700000,0.06080291,1603171823764,True,True
197798115,0.03222200,2.09800000,0.06760175,1603171824197,True,True
197798116,0.03222300,0.04600000,0.00148225,1603171824245,False,True
197798117,0.03222200,0.31000000,0.00998882,1603171824397,True,True
197798118,0.03222200,0.31000000,0.00998882,1603171825141,True,True
197798119,0.03222200,0.31000000,0.00998882,1603171825757,True,True
197798120,0.03222200,0.31000000,0.00998882,1603171826073,True,True
197798121,0.03222200,0.31000000,0.00998882,1603171826391,True,True
197798122,0.03222200,0.31000000,0.00998882,1603171826802,True,True
197798123,0.03222200,0.31000000,0.00998882,1603171827128,True,True
197798124,0.03222200,0.31000000,0.00998882,1603171827557,True,True
197798125,0.03222200,2.59700000,0.08368053,1603171827779,True,True
197798126,0.03222200,1.57900000,0.05087853,1603171831240,True,True
197798127,0.03222200,0.31000000,0.00998882,1603171831771,True,True
197798128,0.03222200,1.18700000,0.03824751,1603171831879,True,True
197798129,0.03222200,1.21400000,0.03911750,1603171831978,True,True
197798130,0.03222200,1.57000000,0.05058854,1603171832078,True,True
197798131,0.03222200,0.00400000,0.00012888,1603171832078,True,True
197798132,0.03222100,1.00000000,0.03222100,1603171832512,True,True
197798133,0.03222000,0.23400000,0.00753948,1603171832982,True,True
197798134,0.03222000,0.07600000,0.00244872,1603171833163,True,True
197798135,0.03222100,0.01200000,0.00038665,1603171836313,False,True
197798136,0.03222100,0.20500000,0.00660530,1603171836759,False,True
197798137,0.03222200,0.51000000,0.01643322,1603171836759,False,True
197798138,0.03222100,1.07900000,0.03476645,1603171836942,True,True
197798139,0.03222100,0.58200000,0.01875262,1603171837223,True,True
197798140,0.03222000,0.15100000,0.00486522,1603171837365,True,True
197798141,0.03222000,0.00700000,0.00022554,1603171837365,True,True
197798142,0.03222000,0.12800000,0.00412416,1603171837365,True,True
197798143,0.03222000,0.09500000,0.00306090,1603171838877,True,True
197798144,0.03222000,0.31000000,0.00998820,1603171839167,True,True
197798145,0.03222100,0.48800000,0.01572384,1603171839514,False,True
197798146,0.03222100,0.17000000,0.00547757,1603171839514,False,True
197798147,0.03222000,0.31000000,0.00998820,1603171839684,True,True
197798148,0.03222000,0.31000000,0.00998820,1603171840200,True,True
197798149,0.03222100,0.83000000,0.02674343,1603171840707,False,True
197798150,0.03222200,0.34900000,0.01124547,1603171840707,False,True
197798151,0.03222000,0.31000000,0.00998820,1603171841138,True,True
197798152,0.03222000,0.62100000,0.02000862,1603171841345,True,True
197798153,0.03222000,0.14400000,0.00463968,1603171842133,True,True
197798154,0.03222000,6.55100000,0.21107322,1603171844169,True,True
197798155,0.03221900,1.87900000,0.06053950,1603171845107,True,True
197798156,0.03222100,0.99600000,0.03209211,1603171846106,False,True
197798157,0.03222100,1.00000000,0.03222100,1603171851856,False,True
197798158,0.03222100,3.10100000,0.09991732,1603171853015,True,True
197798159,0.03222100,0.10800000,0.00347986,1603171854336,True,True
197798160,0.03222100,0.10800000,0.00347986,1603171854336,True,True
197798161,0.03222100,0.10800000,0.00347986,1603171854336,True,True
197798162,0.03222100,0.10800000,0.00347986,1603171854336,True,True
197798163,0.03222100,0.10800000,0.00347986,1603171854336,True,True
197798164,0.03222100,0.10800000,0.00347986,1603171854337,True,True
197798165,0.03222100,0.10800000,0.00347986,1603171854337,True,True
197798166,0.03222100,0.10800000,0.00347986,1603171854337,True,True
197798167,0.03222100,0.10800000,0.00347986,1603171854337,True,True
197798168,0.03222100,0.10800000,0.00347986,1603171854339,True,True
197798169,0.03222100,0.10800000,0.00347986,1603171854339,True,True
197798170,0.03222100,0.10800000,0.00347986,1603171854339,True,True
197798171,0.03222100,0.10800000,0.00347986,1603171854339,True,True
197798172,0.03222100,0.10800000,0.00347986,1603171854339,True,True
197798173,0.03222100,0.10800000,0.00347986,1603171854341,True,True
197798174,0.03222100,0.10800000,0.00347986,1603171854341,True,True
197798175,0.03222100,0.10800000,0.00347986,1603171854341,True,True
197798176,0.03222100,0.10800000,0.00347986,1603171854341,True,True
